epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1599.13,0.68648,0.89562,0.38155,0.88405,0.95868,0.9397,0.97288,0.8531,0.95868,0.9397,0.97303,0.81522,0.66124,0.96511,0.46282,0.85889,0.00130249,0.00130249,0.00130249
31,1652.62,0.66612,0.88617,0.38356,0.8798,0.97734,0.95195,0.98808,0.87754,0.97734,0.95195,0.98814,0.83603,0.63317,0.91272,0.42024,0.84895,0.00129391,0.00129391,0.00129391
32,1705.88,0.67349,0.86967,0.37188,0.87866,0.9617,0.98044,0.99233,0.8716,0.95824,0.97706,0.99138,0.833,0.67238,0.89807,0.39968,0.85753,0.00128507,0.00128507,0.00128507
33,1757.97,0.66087,0.88078,0.37057,0.87817,0.97839,0.97957,0.99174,0.88688,0.97839,0.97957,0.99151,0.84815,0.63384,0.88808,0.37078,0.84714,0.00127599,0.00127599,0.00127599
34,1811.28,0.63725,0.84872,0.36832,0.86831,0.97248,0.97859,0.98496,0.87714,0.9716,0.97774,0.98443,0.84086,0.64365,0.86955,0.39948,0.84678,0.00126667,0.00126667,0.00126667
35,1864.21,0.64487,0.87028,0.36522,0.86926,0.96964,0.92522,0.9843,0.87025,0.9694,0.92576,0.98512,0.83558,0.66059,0.93017,0.45918,0.86221,0.00125711,0.00125711,0.00125711
36,1916.22,0.65905,0.86001,0.37624,0.87851,0.97359,0.94931,0.97021,0.85732,0.97328,0.94903,0.96775,0.81562,0.66745,0.92659,0.43935,0.8611,0.00124731,0.00124731,0.00124731
37,1969.29,0.69681,0.891,0.39805,0.88914,0.9781,0.95791,0.98963,0.88124,0.9781,0.95791,0.98946,0.84277,0.65251,0.91711,0.39978,0.85583,0.00123728,0.00123728,0.00123728
38,2022.02,0.66419,0.86683,0.37585,0.87498,0.97797,0.94087,0.9721,0.8668,0.97797,0.94087,0.9721,0.83516,0.63649,0.92913,0.43167,0.85289,0.00122703,0.00122703,0.00122703
39,2074.3,0.64846,0.86578,0.36104,0.86845,0.96212,0.9389,0.98213,0.87196,0.96212,0.9389,0.98271,0.83581,0.61972,0.89836,0.41326,0.84911,0.00121656,0.00121656,0.00121656
40,2127.29,0.66255,0.86855,0.37564,0.87739,0.94976,0.96804,0.98363,0.86889,0.94739,0.96578,0.98186,0.82649,0.66739,0.92428,0.4252,0.85775,0.00120586,0.00120586,0.00120586
41,2180.36,0.63187,0.84089,0.35338,0.86719,0.94221,0.96325,0.98059,0.87735,0.93939,0.9604,0.98016,0.84072,0.62475,0.86824,0.45882,0.84155,0.00119496,0.00119496,0.00119496
42,2232.31,0.6333,0.83454,0.34983,0.86354,0.96439,0.91973,0.97428,0.87872,0.96439,0.91973,0.97319,0.82955,0.63284,0.93456,0.45078,0.85711,0.00118385,0.00118385,0.00118385
43,2284.86,0.65892,0.85414,0.36163,0.87296,0.94443,0.87257,0.95166,0.84383,0.94443,0.87257,0.95178,0.80769,0.68166,1.02243,0.63723,0.86609,0.00117253,0.00117253,0.00117253
44,2336.82,0.63814,0.84651,0.35233,0.87018,0.9784,0.97244,0.99049,0.88478,0.9767,0.97075,0.9896,0.85031,0.64253,0.86662,0.37757,0.85045,0.00116102,0.00116102,0.00116102
45,2389.26,0.61863,0.82026,0.3422,0.8636,0.97966,0.95765,0.98625,0.875,0.97966,0.95765,0.98625,0.84133,0.65254,0.91179,0.37916,0.85442,0.00114931,0.00114931,0.00114931
46,2442.06,0.60424,0.78015,0.34024,0.85515,0.97385,0.95485,0.98583,0.88787,0.97428,0.95425,0.98271,0.84783,0.61081,0.88492,0.40192,0.84413,0.00113742,0.00113742,0.00113742
47,2493.86,0.58986,0.79215,0.32691,0.85195,0.97984,0.98334,0.99186,0.89169,0.97988,0.98332,0.99168,0.84518,0.63498,0.90066,0.36858,0.84766,0.00112534,0.00112534,0.00112534
48,2547.45,0.59518,0.79215,0.33023,0.8567,0.96809,0.9593,0.97922,0.88573,0.96809,0.9593,0.97964,0.84454,0.60596,0.88542,0.39462,0.84477,0.00111309,0.00111309,0.00111309
49,2600.53,0.63274,0.84981,0.3485,0.86589,0.95645,0.92555,0.96552,0.85863,0.95645,0.92555,0.96556,0.81513,0.66383,0.91532,0.45361,0.85712,0.00110066,0.00110066,0.00110066
50,2652.28,0.62897,0.81253,0.3609,0.86532,0.98132,0.97024,0.98642,0.87999,0.98132,0.97024,0.98493,0.83906,0.62243,0.88838,0.39713,0.85412,0.00108807,0.00108807,0.00108807
51,2704.98,0.59992,0.7843,0.33237,0.85856,0.98918,0.9758,0.99275,0.88576,0.9889,0.97552,0.99247,0.84351,0.63537,0.84664,0.36327,0.84911,0.00107532,0.00107532,0.00107532
52,2757.59,0.59277,0.77855,0.32992,0.85663,0.9645,0.96155,0.98765,0.88878,0.9645,0.96155,0.98481,0.84815,0.61006,0.89718,0.40149,0.8428,0.00106242,0.00106242,0.00106242
