epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1383.9,0.6796,0.87306,0.40084,0.88122,0.95503,0.92997,0.96811,0.84942,0.95493,0.92998,0.96811,0.80964,0.63945,0.94962,0.43472,0.85775,0.00130249,0.00130249,0.00130249
31,1429.4,0.68112,0.90604,0.40445,0.88366,0.98191,0.92113,0.97235,0.84958,0.9821,0.92244,0.9741,0.81381,0.68765,0.98407,0.44361,0.86461,0.00129391,0.00129391,0.00129391
32,1475.95,0.70044,0.88468,0.40933,0.88967,0.95078,0.94839,0.97554,0.84159,0.94755,0.94526,0.9746,0.80029,0.69813,0.94236,0.4672,0.86568,0.00128507,0.00128507,0.00128507
33,1523.65,0.65955,0.87068,0.39406,0.87723,0.95657,0.92844,0.97287,0.85275,0.95657,0.92844,0.97339,0.8162,0.64684,0.96916,0.45439,0.85822,0.00127599,0.00127599,0.00127599
34,1569.44,0.67994,0.88453,0.39128,0.88108,0.96783,0.96022,0.98745,0.86577,0.96722,0.95965,0.98742,0.82277,0.65829,0.91645,0.41123,0.85367,0.00126667,0.00126667,0.00126667
35,1615.34,0.72979,0.90657,0.41949,0.89897,0.93561,0.92757,0.9668,0.84742,0.93561,0.92757,0.96532,0.81588,0.67145,0.92101,0.51315,0.87064,0.00125711,0.00125711,0.00125711
36,1663.14,0.67752,0.89841,0.39803,0.88789,0.96801,0.9382,0.96949,0.86244,0.96805,0.93817,0.96861,0.81272,0.61451,0.91652,0.43411,0.84901,0.00124731,0.00124731,0.00124731
37,1709.02,0.64926,0.85077,0.38095,0.8721,0.96681,0.93319,0.986,0.86448,0.96681,0.93319,0.98499,0.83871,0.64083,0.90123,0.42999,0.85446,0.00123728,0.00123728,0.00123728
38,1754.34,0.65694,0.88411,0.38682,0.8724,0.9477,0.94908,0.98001,0.85668,0.94707,0.94851,0.97925,0.81449,0.65057,0.94999,0.45879,0.85339,0.00122703,0.00122703,0.00122703
39,1800.13,0.68347,0.89089,0.38941,0.87684,0.98256,0.92655,0.97031,0.85133,0.98256,0.92655,0.96975,0.79911,0.65846,0.9609,0.43589,0.85724,0.00121656,0.00121656,0.00121656
40,1845.78,0.67542,0.88118,0.37495,0.87705,0.96852,0.97304,0.98971,0.88588,0.96822,0.97276,0.98962,0.84512,0.5879,0.86785,0.3761,0.84116,0.00120586,0.00120586,0.00120586
41,1892.3,0.63249,0.84822,0.36233,0.86782,0.96943,0.969,0.98883,0.87662,0.96817,0.96782,0.98747,0.83392,0.61015,0.94192,0.37686,0.84885,0.00119496,0.00119496,0.00119496
42,1937.21,0.62449,0.84545,0.35794,0.8645,0.97176,0.97104,0.99028,0.87962,0.97176,0.97104,0.99039,0.8494,0.61686,0.87127,0.37039,0.84393,0.00118385,0.00118385,0.00118385
43,1982.12,0.64118,0.85084,0.37353,0.86908,0.95084,0.93581,0.97533,0.86441,0.95084,0.93581,0.97453,0.82599,0.61952,0.90735,0.45348,0.84806,0.00117253,0.00117253,0.00117253
